date,id,frequency,value
2018-07-03,my data,day,-0.491905967692071
2018-07-04,my data,day,-0.153405259788546
2018-07-05,my data,day,-0.577942381687524
2018-07-06,my data,day,-0.413339278219764
2018-07-07,my data,day,-1.20308279218789
2018-07-08,my data,day,-1.66337304239856
2018-07-09,my data,day,-0.274092645150472
2018-07-10,my data,day,-0.211744295391769
2018-07-11,my data,day,-0.0985890757244916
2018-07-12,my data,day,-0.274092645150472
2018-07-13,my data,day,-0.899728596334722
2018-07-14,my data,day,-0.577942381687524
2018-07-15,my data,day,-1.66337304239856
2018-07-16,my data,day,-0.413339278219764
2018-07-17,my data,day,-0.491905967692071
2018-07-18,my data,day,-0.491905967692071
2018-07-19,my data,day,-0.211744295391769
2018-07-20,my data,day,-0.491905967692071
2018-07-21,my data,day,-1.03872735698128
2018-07-22,my data,day,-1.20308279218789
2018-07-23,my data,day,-0.153405259788546
2018-07-24,my data,day,-0.77928928781907
2018-07-25,my data,day,-0.341045053651689
2018-07-26,my data,day,-0.899728596334722
2018-07-27,my data,day,-1.03872735698128
2018-07-28,my data,day,-1.66337304239856
2018-07-29,my data,day,-1.66337304239856
2018-07-30,my data,day,-0.673025083584903
2018-07-31,my data,day,-0.577942381687524
2018-08-01,my data,day,-0.77928928781907
2018-08-02,my data,day,-0.413339278219764
2018-08-03,my data,day,-0.413339278219764
2018-08-04,my data,day,-1.20308279218789
2018-08-05,my data,day,-1.03872735698128
2018-08-06,my data,day,-0.413339278219764
2018-08-07,my data,day,-0.341045053651689
2018-08-08,my data,day,-0.211744295391769
2018-08-09,my data,day,-0.899728596334722
2018-08-10,my data,day,-1.40418223395837
2018-08-11,my data,day,-1.03872735698128
2018-08-12,my data,day,-1.20308279218789
2018-08-13,my data,day,-0.491905967692071
2018-08-14,my data,day,-0.153405259788546
2018-08-15,my data,day,-0.577942381687524
2018-08-16,my data,day,-0.899728596334722
2018-08-17,my data,day,-0.577942381687524
2018-08-18,my data,day,-2.6527326358806
2018-08-19,my data,day,-2.02858086203209
2018-08-20,my data,day,-0.77928928781907
2018-08-21,my data,day,-1.40418223395837
2018-08-22,my data,day,-1.03872735698128
2018-08-23,my data,day,-0.577942381687524
2018-08-24,my data,day,-1.20308279218789
2018-08-25,my data,day,-1.40418223395837
2018-08-26,my data,day,-1.03872735698128
2018-08-27,my data,day,-1.20308279218789
2018-08-28,my data,day,-0.577942381687524
2018-08-29,my data,day,-0.491905967692071
2018-08-30,my data,day,-0.899728596334722
2018-08-31,my data,day,-1.66337304239856
2018-09-01,my data,day,-2.6527326358806
2018-09-02,my data,day,-1.03872735698128
2018-09-03,my data,day,-1.20308279218789
2018-09-04,my data,day,-0.899728596334722
2018-09-05,my data,day,-0.341045053651689
2018-09-06,my data,day,-0.577942381687524
2018-09-07,my data,day,-0.491905967692071
2018-09-08,my data,day,-1.03872735698128
2018-09-09,my data,day,-1.20308279218789
2018-09-10,my data,day,-0.673025083584903
2018-09-11,my data,day,-0.577942381687524
2018-09-12,my data,day,-0.77928928781907
2018-09-13,my data,day,-1.40418223395837
2018-09-14,my data,day,-0.77928928781907
2018-09-15,my data,day,-0.77928928781907
2018-09-16,my data,day,-1.66337304239856
2018-09-17,my data,day,-0.77928928781907
2018-09-18,my data,day,-0.413339278219764
2018-09-19,my data,day,0.134723520045087
2018-09-20,my data,day,-0.0985890757244916
2018-09-21,my data,day,-0.413339278219764
2018-09-22,my data,day,-1.40418223395837
2018-09-23,my data,day,-0.577942381687524
2018-09-24,my data,day,0.0484384143563325
2018-09-25,my data,day,-0.413339278219764
2018-09-26,my data,day,-0.577942381687524
2018-09-27,my data,day,-0.673025083584903
2018-09-28,my data,day,-0.673025083584903
2018-09-29,my data,day,-1.66337304239856
2018-09-30,my data,day,-1.40418223395837
2018-10-01,my data,day,-0.899728596334722
2018-10-02,my data,day,-1.20308279218789
2018-10-03,my data,day,-0.77928928781907
2018-10-04,my data,day,-1.03872735698128
2018-10-05,my data,day,-0.673025083584903
2018-10-06,my data,day,-1.66337304239856
2018-10-07,my data,day,-1.66337304239856
2018-10-08,my data,day,0.320301038262782
2018-10-09,my data,day,0.250531396735008
2018-10-10,my data,day,-0.211744295391769
2018-10-11,my data,day,-0.491905967692071
