id,date,wp1,wp2,wp3,wp4,wp5,wp6,wp7
1,2011010101,0.62,0.469,0.68,0.679,0.293,0.632,0.548
2,2011010102,0.515,0.469,0.785,0.735,0.347,0.623,0.664
3,2011010103,0.561,0.53,0.74,0.7,0.456,0.602,0.619
4,2011010104,0.621,0.526,0.758,0.722,0.304,0.629,0.633
5,2011010105,0.669,0.504,0.782,0.743,0.323,0.642,0.639
6,2011010106,0.689,0.505,0.788,0.735,0.393,0.693,0.564
7,2011010107,0.636,0.609,0.806,0.777,0.342,0.591,0.549
8,2011010108,0.655,0.547,0.687,0.824,0.233,0.58,0.613
9,2011010109,0.743,0.552,0.682,0.727,0.267,0.595,0.572
10,2011010110,0.608,0.584,0.66,0.763,0.408,0.627,0.459
11,2011010111,0.557,0.58,0.773,0.744,0.301,0.583,0.613
12,2011010112,0.506,0.525,0.73,0.828,0.327,0.65,0.782
13,2011010113,0.428,0.559,0.642,0.805,0.255,0.597,0.779
14,2011010114,0.586,0.538,0.667,0.724,0.29,0.643,0.619
15,2011010115,0.568,0.453,0.725,0.744,0.318,0.767,0.679
16,2011010116,0.616,0.402,0.641,0.798,0.308,0.741,0.699
17,2011010117,0.588,0.202,0.674,0.814,0.219,0.752,0.745
18,2011010118,0.582,0.258,0.751,0.76,0.358,0.592,0.732
19,2011010119,0.546,0.285,0.587,0.84,0.354,0.53,0.549
20,2011010120,0.638,0.373,0.421,0.726,0.335,0.58,0.45
21,2011010121,0.626,0.323,0.473,0.665,0.469,0.635,0.423
22,2011010122,0.673,0.393,0.611,0.728,0.487,0.602,0.395
23,2011010123,0.692,0.394,0.602,0.623,0.488,0.617,0.576
24,2011010200,0.588,0.132,0.712,0.647,0.475,0.67,0.635
25,2011010201,0.488,0.181,0.713,0.686,0.379,0.672,0.789
26,2011010202,0.628,0.224,0.746,0.732,0.449,0.627,0.816
27,2011010203,0.633,0.279,0.721,0.647,0.466,0.716,0.822
28,2011010204,0.594,0.281,0.777,0.634,0.421,0.668,0.663
29,2011010205,0.545,0.303,0.725,0.692,0.422,0.593,0.654
30,2011010206,0.555,0.162,0.653,0.677,0.348,0.567,0.665
31,2011010207,0.488,0.219,0.685,0.67,0.454,0.541,0.569
32,2011010208,0.485,0.21,0.683,0.684,0.415,0.543,0.657
33,2011010209,0.597,0.211,0.689,0.592,0.326,0.601,0.716
34,2011010210,0.592,0.244,0.68,0.589,0.31,0.58,0.673
35,2011010211,0.593,0.179,0.536,0.648,0.301,0.587,0.66
36,2011010212,0.576,0.196,0.617,0.695,0.309,0.611,0.739
37,2011010213,0.488,0.461,0.562,0.645,0.283,0.534,0.589
38,2011010214,0.475,0.508,0.605,0.609,0.265,0.539,0.55
39,2011010215,0.482,0.528,0.627,0.599,0.181,0.521,0.526
40,2011010216,0.496,0.5,0.521,0.627,0.156,0.501,0.565
41,2011010217,0.495,0.479,0.52,0.612,0.136,0.505,0.499
42,2011010218,0.478,0.446,0.59,0.557,0.161,0.48,0.521
43,2011010219,0.491,0.425,0.591,0.528,0.247,0.431,0.547
44,2011010220,0.522,0.444,0.59,0.538,0.29,0.468,0.517
45,2011010221,0.527,0.442,0.613,0.541,0.259,0.463,0.533
46,2011010222,0.544,0.439,0.572,0.443,0.304,0.472,0.607
47,2011010223,0.524,0.396,0.55,0.466,0.288,0.526,0.621
48,2011010300,0.562,0.582,0.48,0.493,0.245,0.591,0.606
49,2011010413,0.506,0.518,0.471,0.647,0.209,0.64,0.522
50,2011010414,0.372,0.388,0.577,0.791,0.294,0.549,0.418
51,2011010415,0.502,0.366,0.524,0.498,0.355,0.486,0.422
52,2011010416,0.582,0.471,0.553,0.463,0.256,0.358,0.368
53,2011010417,0.451,0.575,0.416,0.688,0.268,0.338,0.3
54,2011010418,0.336,0.439,0.552,0.495,0.303,0.249,0.135
55,2011010419,0.433,0.354,0.494,0.23,0.226,0.225,0.153
56,2011010420,0.497,0.318,0.383,0.263,0.306,0.139,0.172
57,2011010421,0.386,0.249,0.465,0.201,0.175,0.113,0.109
